Player,Nation,Pos,Sec_Pos,Squad,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Tammy Abraham,ENG,FW,,Milan ,1997,9,2,301,3.3,2,1,3,2,0,0,0,0,1.2,1.2,0.7,1.9,9,6,19,0.6,0.3,0.9,0.6,0.9,0.36,0.2,0.56,0.36,0.56
Francesco Acerbi,ITA,DF,,Inter ,1988,9,8,770,8.6,1,1,2,1,0,0,2,0,0.6,0.6,0.6,1.3,2,9,3,0.12,0.12,0.23,0.12,0.23,0.08,0.08,0.15,0.08,0.15
Arijan Ademi,MKD,MF,,Dinamo Zagreb,1991,6,4,287,3.2,0,0,0,0,0,0,2,0,0.6,0.6,0.3,0.9,3,9,6,0,0,0,0,0,0.2,0.08,0.28,0.2,0.28
Karim Adeyemi,GER,FW,MF,Dortmund ,2002,10,9,685,7.6,5,1,6,5,0,0,2,0,2,2,1.6,3.6,34,13,63,0.66,0.13,0.79,0.66,0.79,0.27,0.21,0.48,0.27,0.48
Amine Adli,MAR,MF,FW,Leverkusen ,2000,5,2,210,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,9,16,0,0,0,0,0,0.08,0.07,0.15,0.08,0.15
Vasilije Adžić,MNE,FW,,Juventus ,2006,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Michel Aebischer,SUI,MF,,Bologna ,1997,1,0,29,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Emanuel Aiwum,AUT,DF,,Sturm Graz,2000,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
Ludovic Ajorque,FRA,FW,,Brest ,1994,8,8,640,7.1,0,2,2,0,0,0,3,0,0.7,0.7,2.2,2.9,3,10,35,0,0.28,0.28,0,0.28,0.1,0.3,0.4,0.1,0.4
Manuel Akanji,SUI,DF,,Manchester City,1995,8,8,644,7.2,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,16,69,2,0,0.14,0.14,0,0.14,0.04,0.08,0.12,0.04,0.12
Nathan Aké,NED,DF,,Manchester City,1995,4,3,284,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0,0.4,2,16,2,0,0,0,0,0,0.1,0.01,0.11,0.1,0.11
Maghnes Akliouche,FRA,FW,MF,Monaco ,2002,10,10,805,8.9,2,2,4,2,0,0,1,0,1.5,1.5,2.1,3.6,37,47,51,0.22,0.22,0.45,0.22,0.45,0.16,0.23,0.4,0.16,0.4
Chuba Akpom,ENG,FW,,Lille ,1995,1,0,24,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,0,3,0,0,0,0,0,0.75,0,0.75,0.75,0.75
Kerem Aktürkoğlu,TUR,FW,,Benfica ,1998,12,11,847,9.4,4,0,4,4,0,0,1,0,3.9,3.9,1.5,5.5,18,14,46,0.43,0,0.43,0.43,0.43,0.42,0.16,0.58,0.42,0.58
David Alaba,AUT,DF,,Real Madrid,1992,5,2,175,1.9,0,0,0,0,0,0,1,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,ENG,DF,,Liverpool ,1998,8,7,573,6.4,0,1,1,0,0,0,0,0,0.5,0.5,0.5,1,5,46,16,0,0.16,0.16,0,0.16,0.07,0.09,0.16,0.07,0.16
Alisson,BRA,GK,,Liverpool ,1992,6,6,570,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julián Álvarez,ARG,FW,MF,Atlético Madrid,2000,10,10,784,8.7,7,1,8,7,0,0,0,0,2.4,2.4,1.6,4,23,25,54,0.8,0.11,0.92,0.8,0.92,0.28,0.2,0.48,0.28,0.48
Mohamed Aly Camara,GUI,DF,,Young Boys,1997,6,6,495,5.5,0,0,0,0,0,0,1,0,0,0,0.4,0.4,2,11,1,0,0,0,0,0,0,0.07,0.07,0,0.07
Jordan Amavi,FRA,DF,,Brest ,1994,1,1,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0
Zeki Amdouni,SUI,FW,MF,Benfica ,2000,11,1,249,2.8,1,0,1,1,0,0,2,0,1.6,1.6,0.6,2.1,8,5,14,0.36,0,0.36,0.36,0.36,0.57,0.2,0.77,0.57,0.77
Benjamin André,FRA,MF,,Lille ,1990,9,9,810,9,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,4,41,12,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06
Robert Andrich,GER,MF,DF,Leverkusen ,1994,7,2,276,3.1,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.7,2,8,3,0,0.33,0.33,0,0.33,0.02,0.19,0.22,0.02,0.22
Lucas Anjos,POR,MF,,Sporting CP,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.29,0.29,0,0.29
Waldemar Anton,GER,DF,,Dortmund ,1996,10,6,593,6.6,0,0,0,0,0,0,1,0,0,0,0.5,0.5,3,27,1,0,0,0,0,0,0,0.08,0.08,0,0.08
Maximiliano Araújo,URU,DF,MF,Sporting CP,2000,10,7,624,6.9,1,0,1,1,0,0,2,0,0.8,0.8,0.5,1.3,24,32,50,0.14,0,0.14,0.14,0.14,0.12,0.07,0.18,0.12,0.18
Ronald Araújo,URU,DF,,Barcelona ,1999,8,4,523,5.8,1,0,1,1,0,0,0,0,0.5,0.5,0,0.5,0,10,0,0.17,0,0.17,0.17,0.17,0.09,0,0.09,0.09,0.09
Tomás Araújo,POR,DF,,Benfica ,2002,11,11,924,10.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,7,31,12,0,0,0,0,0,0,0.01,0.01,0,0.01
Hákon Arnar Haraldsson,ISL,FW,MF,Lille ,2003,6,3,306,3.4,2,0,2,2,0,0,0,0,0.9,0.9,0.7,1.5,10,17,24,0.59,0,0.59,0.59,0.59,0.25,0.19,0.45,0.25,0.45
Marko Arnautović,AUT,FW,,Inter ,1989,7,2,206,2.3,1,0,1,1,0,1,2,0,1.8,1,0.2,1.3,1,6,15,0.44,0,0.44,0.44,0.44,0.79,0.1,0.9,0.45,0.55
Arthur,BRA,DF,MF,Leverkusen ,2003,5,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0.1,0.2,1,2,9,0,0,0,0,0,0.03,0.1,0.13,0.03,0.13
Raúl Asencio,ESP,DF,,Real Madrid,2003,10,8,749,8.3,0,1,1,0,0,0,2,0,0.1,0.1,0.1,0.2,3,7,2,0,0.12,0.12,0,0.12,0.01,0.01,0.02,0.01,0.02
Marco Asensio,ESP,MF,,Aston Villa,1996,4,0,129,1.4,3,0,3,2,1,1,0,0,3,2.2,0.1,2.3,3,5,4,2.09,0,2.09,1.4,1.4,2.08,0.05,2.13,1.53,1.58
Marco Asensio,ESP,FW,,Paris S-G,1996,4,2,135,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,2,7,0,0,0,0,0,0.1,0.07,0.17,0.1,0.17
Kristjan Asllani,ALB,MF,,Inter ,2002,8,3,357,4,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,1,20,3,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08
Yaser Asprilla,COL,MF,FW,Girona ,2003,6,2,245,2.7,0,0,0,0,0,0,0,0,0,0,0.2,0.2,5,15,18,0,0,0,0,0,0.01,0.07,0.09,0.01,0.09
Zachary Athekame,SUI,DF,,Young Boys,2004,8,5,494,5.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,16,20,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
Carlos Augusto,BRA,DF,,Inter ,1999,13,6,664,7.4,0,2,2,0,0,0,2,0,0.8,0.8,0.4,1.2,14,9,38,0,0.27,0.27,0,0.27,0.12,0.06,0.17,0.12,0.17
Yann Aurel Bisseck,GER,DF,,Inter ,2000,13,7,701,7.8,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,9,17,15,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09
Fredrik Aursnes,NOR,MF,,Benfica ,1995,12,11,989,11,0,1,1,0,0,0,2,0,1.3,1.3,1.1,2.4,24,47,36,0,0.09,0.09,0,0.09,0.12,0.1,0.22,0.12,0.22
Irakli Azarov,GEO,DF,,Shakhtar ,2002,2,2,162,1.8,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,7,7,0,0,0,0,0,0.01,0.07,0.08,0.01,0.08
Ayman Azhil,MAR,MF,,Dortmund ,2001,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Aznou,MAR,DF,,Bayern Munich,2006,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
César Azpilicueta,ESP,DF,,Atlético Madrid,1989,2,1,113,1.3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,4,1,0,0,0,0,0,0,0.07,0.07,0,0.07
Isaac Babadi,NED,MF,FW,PSV Eindhoven,2005,4,1,105,1.2,0,1,1,0,0,0,2,0,0.3,0.3,0.4,0.7,5,6,5,0,0.86,0.86,0,0.86,0.27,0.37,0.64,0.27,0.64
Alexander Bah,DEN,DF,,Benfica ,1997,7,6,498,5.5,1,1,2,1,0,0,2,0,0.7,0.7,0.9,1.6,12,19,23,0.18,0.18,0.36,0.18,0.36,0.13,0.17,0.3,0.13,0.3
Samson Baidoo,AUT,DF,,RB Salzburg,2004,7,7,616,6.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,4,25,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02
